Age,ADM[x10^22 Am^2]
35.7,6.78802
35.65,6.76863
35.6,6.76164
35.55,6.75958
35.5,6.75518
35.45,6.74251
35.4,6.7213
35.35,6.69285
35.3,6.65846
35.25,6.61837
35.2,6.57285
35.15,6.52061
35.1,6.46139
35.05,6.39414
35,6.31914
34.95,6.2369
34.9,6.14742
34.85,6.05199
34.8,5.95578
34.75,5.86397
34.7,5.78225
34.65,5.71526
34.6,5.6638
34.55,5.62707
34.5,5.60509
34.45,5.5963
34.4,5.59811
34.35,5.60664
34.3,5.61802
34.25,5.63044
34.2,5.64673
34.15,5.6713
34.1,5.70828
34.05,5.7613
34,5.8288
33.95,5.90794
33.9,5.99639
33.85,6.09078
33.8,6.18466
33.75,6.27182
33.7,6.34527
33.65,6.39958
33.6,6.43397
33.55,6.44897
33.5,6.44535
33.45,6.42492
33.4,6.39414
33.35,6.36027
33.3,6.33104
33.25,6.31268
33.2,6.30699
33.15,6.31397
33.1,6.33389
33.05,6.36647
33,6.40708
32.95,6.45001
32.9,6.49035
32.85,6.5232
32.8,6.54777
32.75,6.5638
32.7,6.57156
32.65,6.57104
32.6,6.56483
32.55,6.55604
32.5,6.54751
32.45,6.54156
32.4,6.53949
32.35,6.54104
32.3,6.54699
32.25,6.55656
32.2,6.56639
32.15,6.57311
32.1,6.57259
32.05,6.56096
32,6.53742
31.95,6.50018
31.9,6.44845
31.85,6.38225
31.8,6.30337
31.75,6.21544
31.7,6.12182
31.65,6.02613
31.6,5.93561
31.55,5.85854
31.5,5.8032
31.45,5.77526
31.4,5.77397
31.35,5.79647
31.3,5.8394
31.25,5.8994
31.2,5.97208
31.15,6.05147
31.1,6.13268
31.05,6.21078
31,6.28242
30.95,6.34527
30.9,6.39647
30.85,6.43475
30.8,6.46294
30.75,6.48595
30.7,6.50846
30.65,6.5338
30.6,6.56432
30.55,6.6013
30.5,6.6463
30.45,6.69932
30.4,6.75751
30.35,6.81596
30.3,6.87078
30.25,6.91708
30.2,6.95018
30.15,6.96544
30.1,6.95742
30.05,6.92354
30,6.8669
29.95,6.79346
29.9,6.70863
29.85,6.61759
29.8,6.52578
29.75,6.43863
29.7,6.3613
29.65,6.29871
29.6,6.25113
29.55,6.21932
29.5,6.20302
29.45,6.20173
29.4,6.21311
29.35,6.23406
29.3,6.26095
29.25,6.29121
29.2,6.32225
29.15,6.35251
29.1,6.3794
29.05,6.40164
29,6.41845
28.95,6.42983
28.9,6.43578
28.85,6.43682
28.8,6.43527
28.75,6.43423
28.7,6.43682
28.65,6.44535
28.6,6.4619
28.55,6.48751
28.5,6.5232
28.45,6.56975
28.4,6.62509
28.35,6.68613
28.3,6.75052
28.25,6.81596
28.2,6.88346
28.15,6.95483
28.1,7.03216
28.05,7.11492
28,7.19639
27.95,7.26828
27.9,7.32156
27.85,7.35027
27.8,7.35673
27.75,7.34561
27.7,7.32182
27.65,7.28949
27.6,7.25121
27.55,7.2088
27.5,7.16406
27.45,7.1188
27.4,7.07251
27.35,7.0244
27.3,6.97423
27.25,6.92147
27.2,6.86665
27.15,6.81104
27.1,6.75596
27.05,6.7019
27,6.64708
26.95,6.58966
26.9,6.52759
26.85,6.45983
26.8,6.38923
26.75,6.32044
26.7,6.25708
26.65,6.2038
26.6,6.16371
26.55,6.14121
26.5,6.13914
26.45,6.16113
26.4,6.20587
26.35,6.27285
26.3,6.36027
26.25,6.4663
26.2,6.58449
26.15,6.70811
26.1,6.82966
26.05,6.94268
26,7.04225
25.95,7.12397
25.9,7.1832
25.85,7.21682
25.8,7.22742
25.75,7.21915
25.7,7.19561
25.65,7.1607
25.6,7.11544
25.55,7.06035
25.5,6.99596
25.45,6.92277
25.4,6.84337
25.35,6.75983
25.3,6.67449
25.25,6.59044
25.2,6.51492
25.15,6.4557
25.1,6.42052
25.05,6.41587
25,6.44328
24.95,6.50199
24.9,6.59225
24.85,6.71147
