"","Date","Code","SampleID","i161","i196","Ratio","nGrains","calibrated","SampleCode","Frame","Treatment","TreeNumber","Sampling_Number","calBatch"
"107",2025-02-27,3177,"J518",3082614,5115661,0.602583713033369,150,0.57136255044031,"E_CON_048_(1st sampling)","E","CON","048","01","2025-02-27"
"108",2025-02-27,3178,"J521",3090288,5213562,0.592740241700396,150,0.56567745939105,"E_CON_048_(2nd sampling)","E","CON","048","02","2025-02-27"
"109",2025-02-27,3179,"J524",2832504,5181622,0.546644274707804,150,0.539054760904722,"E_CON_048_(3rd sampling)","E","CON","048","03","2025-02-27"
"110",2025-02-27,3180,"J527",2338884,5331898,0.43865880405064,150,0.476687816163725,"F_UV_053_(1st sampling)","F","UV","053","01","2025-02-27"
"111",2025-02-27,3181,"J530",2329864,4998482,0.466114312305216,150,0.492544728725466,"F_UV_053_(2nd sampling)","F","UV","053","02","2025-02-27"
"112",2025-02-27,3182,"J533",2907674,5079752,0.572404715820772,150,0.55393268844089,"F_UV_054_(1st sampling)","F","UV","054","01","2025-02-27"
"113",2025-02-27,3183,"J536",2255425,4724074,0.477432190943664,150,0.499081362842387,"F_UV_054_(2nd sampling)","F","UV","054","02","2025-02-27"
"114",2025-02-27,3184,"J539",2320341,5070934,0.457576651559653,150,0.487613807809018,"F_UV_054_(3rd sampling)","F","UV","054","03","2025-02-27"
"115",2025-02-27,3185,"J542",2006253,5086411,0.394433914207877,150,0.451145757179168,"F_UV_055_(1st sampling)","F","UV","055","01","2025-02-27"
"116",2025-02-27,3186,"J609",1926299,5246937,0.36712828837091,150,0.435375409119112,"F_UV_055_(2nd sampling)","F","UV","055","02","2025-02-27"
"117",2025-02-27,3187,"J612",3063897,5259018,0.582598690477956,150,0.559820212477843,"F_CON_056_(1st sampling)","F","CON","056","01","2025-02-27"
"118",2025-02-27,3188,"J615",1227770,5008433,0.245140545955192,150,0.36492146060159,"F_CON_056_(2nd sampling)","F","CON","056","02","2025-02-27"
"119",2025-02-27,3189,"J618",2057962,4886151,0.421182644580571,150,0.46659447059305,"F_CON_057_(1st sampling)","F","CON","057","01","2025-02-27"
"120",2025-02-27,3190,"J621",1943817,5145540,0.377767348033443,150,0.441519991737786,"F_CON_057_(2nd sampling)","F","CON","057","02","2025-02-27"
"121",2025-02-28,3201,"J624",3429336,4979267,0.688723059036601,150,0.569359295881332,"F_CON_059_(1st sampling)","F","CON","059","01","2025-02-28"
"122",2025-02-28,3202,"J627",3001155,5073586,0.591525402348556,150,0.51238139715179,"F_CON_059_(2nd sampling)","F","CON","059","02","2025-02-28"
"123",2025-02-28,3203,"J336",3460584,5053710,0.684761096303508,150,0.567036767550213,"A_UV_002_(1st sampling)","A","UV","002","01","2025-02-28"
"124",2025-02-28,3204,"J339",3535655,5216200,0.677821977684905,150,0.562969011069293,"B_UV_012_(1st sampling)","B","UV","012","01","2025-02-28"
"125",2025-02-28,3205,"J342",2638233,4757435,0.55454945784861,150,0.49070585791622,"B_CON_017_(1st sampling)","B","CON","017","01","2025-02-28"
"126",2025-02-28,3206,"J345",2227493,5344040,0.41681817501366,150,0.40996688382298,"B_CON_020_(1st sampling)","B","CON","020","01","2025-02-28"
"127",2025-02-28,3207,"J348",3309732,5160768,0.641325477138286,150,0.541574524998481,"C_UV_023_(1st sampling)","C","UV","023","01","2025-02-28"
